Date,Amount,Transaction Type,Category,Day of Week,Month,Description_grouped,Desc_Amazon,Desc_Amazon Video,Desc_American Tavern,Desc_BBQ Restaurant,Desc_BP,Desc_Bakery Place,Desc_Barbershop,Desc_Belgian Restaurant,Desc_Best Buy,Desc_Biweekly Paycheck,Desc_Blue Sky Market,Desc_Bojangles,Desc_Brewing Company,Desc_Brunch Restaurant,Desc_Chick-Fil-A,Desc_Circle K,Desc_City Water Charges,Desc_Credit Card Payment,Desc_Fancy Restaurant,Desc_Food Truck,Desc_Gas Company,Desc_German Restaurant,Desc_Greek Restaurant,Desc_Grocery Store,Desc_Hardware Store,Desc_Internet Service Provider,Desc_Italian Restaurant,Desc_Japanese Restaurant,Desc_Latin Restaurant,Desc_Mediterranean Restaurant,Desc_Mexican Restaurant,Desc_Mike's Construction Co.,Desc_Mortgage Payment,Desc_Movie Theater,Desc_Netflix,Desc_New York Deli,Desc_Other,Desc_Phone Company,Desc_Pizza Place,Desc_Power Company,Desc_QuikTrip,Desc_Roadside Diner,Desc_Seafood Restaurant,Desc_Shell,Desc_Spotify,Desc_Starbucks,Desc_State Farm,Desc_Sushi Restaurant,Desc_Target,Desc_Thai Restaurant,Desc_Valero,Desc_Vietnamese Restaurant,Desc_Wendy's,Acct_Checking,Acct_Platinum Card,Acct_Silver Card,Category_label,Amount_log,Amount_log_scaled
2018-01-01,11.11,1,Shopping,0,1,Amazon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,2.494031557565001,-1.8687382374337687
2018-01-02,1247.44,1,Mortgage & Rent,1,1,Mortgage Payment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,7.129650050895818,2.8782110575755557
2018-01-02,24.22,1,Restaurants,1,1,Thai Restaurant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,18,3.2276373305367736,-1.1175139052689929
2018-01-03,2298.09,0,Credit Card Payment,2,1,Credit Card Payment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7.740268671452355,3.503494530436955
2018-01-04,11.76,1,Movies & DVDs,3,1,Netflix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,2.546315277916644,-1.815198851088503
2018-01-05,25.85,1,Restaurants,4,1,American Tavern,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3.2902658209548736,-1.0533813048694107
2018-01-06,18.45,1,Home Improvement,5,1,Hardware Store,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2.9678470700644555,-1.3835433888370559
2018-01-08,45.0,1,Utilities,0,1,Gas Company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,3.828641396489095,-0.5020758938634861
2018-01-08,15.38,1,Home Improvement,0,1,Hardware Store,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2.7960610784249234,-1.55945505910909
2018-01-09,10.69,1,Music,1,1,Spotify,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,16,2.458733775483977,-1.9048837446634879
2018-01-10,89.46,1,Mobile Phone,2,1,Phone Company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,4.504907764049697,0.19043194761414534
2018-01-11,34.87,1,Gas & Fuel,3,1,Shell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,3.579901291544191,-0.7567898371069802
2018-01-11,43.54,1,Groceries,3,1,Grocery Store,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,3.7963876618292214,-0.5351042466551098
2018-01-12,2000.0,0,Paycheck,4,1,Biweekly Paycheck,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,7.601402334583733,3.3612931260618106
2018-01-13,32.91,1,Fast Food,5,1,Pizza Place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3.523709956137547,-0.8143306852975618
2018-01-13,39.05,1,Shopping,5,1,Amazon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,3.6901286735143684,-0.6439151918170716
2018-01-15,44.19,1,Groceries,0,1,Grocery Store,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3.810875823423188,-0.5202681317842665
2018-01-15,64.11,1,Restaurants,0,1,American Tavern,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,4.176078147248771,-0.14629496809236373
