Date,Description,Amount,Transaction Type,Category,Day of Week,Month,Acct_Checking,Acct_Platinum Card,Acct_Silver Card,Category_label,Amount_scaled
2018-01-01,Amazon,11.11,1,Shopping,0,1,0,1,0,19,-0.5207318580188675
2018-01-02,Mortgage Payment,1247.44,1,Mortgage & Rent,1,1,1,0,0,14,5.791472142801131
2018-01-02,Thai Restaurant,24.22,1,Restaurants,1,1,0,0,1,18,-0.4537974679686785
2018-01-03,Credit Card Payment,2298.09,0,Credit Card Payment,2,1,0,1,0,3,11.155668703154381
2018-01-04,Netflix,11.76,1,Movies & DVDs,3,1,0,1,0,15,-0.5174132193054714
2018-01-05,American Tavern,25.85,1,Restaurants,4,1,0,0,1,18,-0.44547534319508514
2018-01-06,Hardware Store,18.45,1,Home Improvement,5,1,0,0,1,11,-0.4832567685475946
2018-01-08,Gas Company,45.0,1,Utilities,0,1,1,0,0,21,-0.3477031411004155
2018-01-08,Hardware Store,15.38,1,Home Improvement,0,1,0,0,1,11,-0.49893095447086544
2018-01-09,Spotify,10.69,1,Music,1,1,0,1,0,16,-0.5228762091875234
2018-01-10,Phone Company,89.46,1,Mobile Phone,2,1,1,0,0,13,-0.12070825310412235
2018-01-11,Shell,34.87,1,Gas & Fuel,3,1,0,1,0,8,-0.39942284904918857
2018-01-11,Grocery Store,43.54,1,Groceries,3,1,0,1,0,9,-0.35515731421050517
2018-01-12,Biweekly Paycheck,2000.0,0,Paycheck,4,1,1,0,0,17,9.633740989190928
2018-01-13,Pizza Place,32.91,1,Fast Food,5,1,0,1,0,6,-0.40942982116958293
2018-01-13,Amazon,39.05,1,Shopping,5,1,0,1,0,19,-0.37808144932304133
2018-01-15,Grocery Store,44.19,1,Groceries,0,1,0,0,1,9,-0.3518386754971091
2018-01-15,American Tavern,64.11,1,Restaurants,0,1,0,0,1,18,-0.2501351629265702
2018-01-16,City Water Charges,35.0,1,Utilities,1,1,1,0,0,21,-0.3987591213065093
2018-01-16,Power Company,60.0,1,Utilities,1,1,1,0,0,21,-0.27111917079127473
2018-01-19,Biweekly Paycheck,2000.0,0,Paycheck,4,1,1,0,0,17,9.633740989190928
2018-01-20,Amazon,50.21,1,Shopping,5,1,0,1,0,19,-0.3211029754130406
2018-01-22,Credit Card Payment,554.99,0,Credit Card Payment,0,1,0,1,0,3,2.256100793430164
2018-01-22,Credit Card Payment,309.81,0,Credit Card Payment,0,1,0,0,1,3,1.0043102707371554
2018-01-22,Credit Card Payment,554.99,1,Credit Card Payment,0,1,1,0,0,3,2.256100793430164
2018-01-22,Hardware Store,17.38,1,Home Improvement,0,1,0,0,1,11,-0.48871975842964666
2018-01-23,Credit Card Payment,309.81,1,Credit Card Payment,1,1,1,0,0,3,1.0043102707371554
2018-01-24,Starbucks,3.0,1,Coffee Shops,2,1,0,1,0,2,-0.5621382579660096
2018-01-25,Internet Service Provider,69.99,1,Internet,3,1,1,0,0,12,-0.22011424656538703
2018-01-29,Shell,30.42,1,Gas & Fuel,0,1,0,0,1,8,-0.4221427602409003
2018-01-29,Thai Restaurant,25.0,1,Restaurants,0,1,0,0,1,18,-0.4498151015126031
2018-01-29,Brunch Restaurant,17.62,1,Restaurants,0,1,0,1,0,18,-0.48749441490470036
2018-02-01,Grocery Store,27.79,1,Groceries,3,2,0,1,0,9,-0.43557048303510293
2018-02-01,Amazon,11.11,1,Shopping,3,2,0,1,0,19,-0.5207318580188675
2018-02-02,Mortgage Payment,1247.44,1,Mortgage & Rent,4,2,1,0,0,14,5.791472142801131
2018-02-02,Biweekly Paycheck,2000.0,0,Paycheck,4,2,1,0,0,17,9.633740989190928
2018-02-03,Japanese Restaurant,57.02,1,Restaurants,5,2,0,1,0,18,-0.2863338528926907
2018-02-04,Netflix,11.76,1,Movies & DVDs,6,2,0,1,0,15,-0.5174132193054714
2018-02-05,Credit Card Payment,145.14,0,Credit Card Payment,0,2,0,1,0,3,0.16357144468340806
2018-02-06,Credit Card Payment,154.13,0,Credit Card Payment,1,2,0,0,1,3,0.20947077088868646
2018-02-07,Credit Card Payment,154.13,1,Credit Card Payment,2,2,1,0,0,3,0.20947077088868646
2018-02-07,Gas Company,65.0,1,Utilities,2,2,1,0,0,21,-0.24559118068822783
2018-02-09,Barbershop,30.0,1,Haircut,4,2,0,1,0,10,-0.4242871114095562
2018-02-09,Spotify,10.69,1,Music,4,2,0,1,0,16,-0.5228762091875234
2018-02-10,Bojangles,10.66,1,Fast Food,5,2,0,1,0,6,-0.5230293771281417
2018-02-11,Fancy Restaurant,106.8,1,Restaurants,6,2,0,1,0,18,-0.03217718342675563
2018-02-12,Shell,36.47,1,Gas & Fuel,0,2,0,0,1,8,-0.39125389221621354
2018-02-12,Phone Company,89.52,1,Mobile Phone,0,2,1,0,0,13,-0.12040191722288578
